Input #,DOFFIN_ID,URL,Rating,Begrunnelse
1,2025-101020,https://www.doffin.no/notices/2025-101020,60,Fagområdene som etterspøres er noe vi ikke har så mye av. 
2,2025-101051,https://www.doffin.no/notices/2025-101051,0,Helt utenfor scope. Innkjøp av fysiske avfallsbeholdere på vestlandet
3,2025-100746,https://www.doffin.no/notices/2025-100746,60,"Innenfor interessesfæren, men kun Jonas som har kompetansen"
4,2025-100639,https://www.doffin.no/notices/2025-100639,5,"Innen IT, men vi driver ikke med HW"
5,2025-101106,https://www.doffin.no/notices/2025-101106,50,"Veldig interessant løsning å levere, men de ønsker å kjøe ferdig løsning som SaaS og det leverer ikke vi"
6,2025-100160,https://www.doffin.no/notices/2025-100160,0,Vi driver ikke med verken renhold av idretshaller eller tilhørende utstyr
7,2022-914767,https://www.doffin.no/notices/2022-914767,100,Både innkjøpsform og det de vil etterspørre innenfor avtalen er 100%
8,2021-300881,https://www.doffin.no/notices/2021-300881,95,Som over med et lite trekk for lokasjon og at noe av det de vil etterspørre etter er utenfor våre områder
9,2023-345983,https://www.doffin.no/notices/2023-345983,10,"Kommer ikke inn på grunnlaget da forespørselen er gammel, men utenfor scope og vanligvis vil NT ha on-site på Hamar"
10,2025-101192,https://www.doffin.no/notices/2025-101192,10,"Ikke så lett å vite sikkert hva de er ute etter uten å bruke mer tid på konkurransegrunnlaget, men siden de har tenkt til å benytte SSA-L så tyder det på at de ser etter noe som er ferdig. I tillegg så krever de referanser innenfor eiendom som vi ikke har. "
11,2020-395676,https://www.doffin.no/notices/2020-395676,0,Ikke innenfor IT
12,2025-100447,https://www.doffin.no/notices/2025-100447,0,Ikke innenfor IT.
13,2025-100848,https://www.doffin.no/notices/2025-100848,50,Denne er vanskelig. Krever en del tid å lese igjennom for å kvalifisere. Usikkert hvor mye helse kompetanse i forhold til AI kompetanse den krever. Men selv om den hadde vært innenfor ville den vært VELDIG krevende å vinne
14,2024-112550,https://www.doffin.no/notices/2024-112550,0,"Er ikke innenfor IT men  bydrift, infrastruktur, areal og miljø."
